x_valueCar,y_valueCar,x_valueObject,y_valueObject
111.53999999999999,35.95,111.53999999999999,42.9
111.18,35.25,111.18,42.91
111.28,35.55,111.28,43.31
111.55,35.97,111.55,43.0
111.18,35.97,111.18,42.9
111.28,35.54,111.28,42.9
111.18,35.64,111.18,43.0
111.18,35.55,111.18,42.9
111.53999999999999,35.95,111.53999999999999,43.019999999999996
111.16,35.19,111.16,42.9
111.28,35.09,111.28,42.91
111.28,35.230000000000004,111.28,43.019999999999996
111.18,35.54,111.18,42.9
111.55,35.54,111.55,42.45
111.43,35.19,111.43,42.9
111.53999999999999,35.95,111.53999999999999,42.91
111.53999999999999,36.07,111.53999999999999,43.43
111.45,35.95,111.45,42.9
111.53999999999999,35.97,111.53999999999999,43.33
111.43,35.64,111.43,42.9
111.55,35.97,111.55,43.33
111.55,35.95,111.55,42.57
111.18,35.54,111.18,42.9
111.53999999999999,35.95,111.53999999999999,42.489999999999995
111.18,35.66,111.18,42.9
111.43,35.54,111.43,42.91
111.55,36.379999999999995,111.55,43.0
111.45,35.66,111.45,43.31
111.28,35.95,111.28,42.9
111.18,35.19,111.18,42.59
111.18,35.97,111.18,42.879999999999995
111.25,35.54,111.25,43.019999999999996
111.14,35.19,111.14,42.47
111.3,35.09,111.3,42.9
111.25,35.19,111.25,42.57
111.18,35.5,111.18,42.9
111.25,35.09,111.25,42.91
111.18,35.66,111.18,43.34
111.55,35.95,111.55,42.9
111.28,34.78,111.28,42.59
111.16,35.09,111.16,42.489999999999995
111.28,35.09,111.28,42.489999999999995
111.43,36.07,111.43,42.91
111.28,35.5,111.28,42.489999999999995
111.28,35.97,111.28,43.019999999999996
111.18,35.97,111.18,42.489999999999995
111.28,35.55,111.28,42.91
111.18,36.07,111.18,42.9
111.18,35.11,111.18,42.91
111.26,35.97,111.26,42.59
111.16,35.97,111.16,42.489999999999995
111.28,35.5,111.28,42.07
111.21000000000001,35.19,111.21000000000001,42.16
111.18,35.97,111.18,42.47
111.3,35.97,111.3,42.59
111.18,35.19,111.18,42.47
111.3,35.97,111.3,42.47
111.28,35.620000000000005,111.28,42.61
111.18,35.489999999999995,111.18,42.06
111.53999999999999,35.5,111.53999999999999,42.47
111.19,35.19,111.19,42.489999999999995
111.55,35.5,111.55,43.34
111.28,35.19,111.28,42.59
111.43,36.36,111.43,42.47
111.53999999999999,36.379999999999995,111.53999999999999,43.769999999999996
111.43,36.03,111.43,42.97
111.5,36.36,111.5,43.769999999999996
111.53999999999999,35.93,111.53999999999999,42.59
111.43,36.769999999999996,111.43,42.9
111.55,36.79,111.55,42.9
111.42,36.480000000000004,111.42,45.879999999999995
111.43,37.239999999999995,111.43,42.9
111.53999999999999,36.379999999999995,111.53999999999999,44.3
111.23,38.11,111.23,43.6
111.02,35.379999999999995,111.02,43.03
110.99,35.4,110.99,43.93
111.23,34.83,111.23,43.45
111.13,34.71,111.13,42.489999999999995
111.25,35.129999999999995,111.25,43.79
111.16,35.25,111.16,43.79
111.23,35.14,111.23,43.36
111.25,35.14,111.25,43.89
111.14,35.14,111.14,43.769999999999996
111.23,34.730000000000004,111.23,42.489999999999995
111.13,35.25,111.13,42.59
111.18,35.14,111.18,42.489999999999995
111.23,34.730000000000004,111.23,43.46
111.13,35.260000000000005,111.13,42.91
111.25,34.730000000000004,111.25,42.489999999999995
111.23,35.25,111.23,42.61
111.13,35.55,111.13,42.489999999999995
111.23,34.730000000000004,111.23,42.489999999999995
111.14,35.260000000000005,111.14,43.79
111.23,35.129999999999995,111.23,42.489999999999995
111.23,35.260000000000005,111.23,42.61
111.13,35.14,111.13,42.489999999999995
111.5,35.55,111.5,43.79
111.13,35.25,111.13,42.489999999999995
111.23,35.14,111.23,42.5
111.25,35.25,111.25,42.59
111.13,35.55,111.13,42.47
111.23,35.14,111.23,43.79
111.13,35.25,111.13,42.59
111.13,35.14,111.13,43.79
111.5,35.55,111.5,43.0
111.13,35.25,111.13,43.769999999999996
111.23,35.55,111.23,43.36
111.16,35.25,111.16,43.019999999999996
111.13,35.14,111.13,42.489999999999995
111.23,34.68,111.23,42.59
111.13,34.78,111.13,42.91
111.23,34.68,111.23,42.9
111.23,34.8,111.23,42.59
111.13,35.14,111.13,42.489999999999995
111.23,35.14,111.23,43.0
111.13,34.8,111.13,42.489999999999995
111.23,34.7,111.23,42.489999999999995
111.28,34.8,111.28,42.59
111.13,35.129999999999995,111.13,42.47
111.26,34.71,111.26,42.47
111.18,35.25,111.18,42.489999999999995
111.25,35.11,111.25,42.91
111.23,35.129999999999995,111.23,43.46
111.14,35.11,111.14,42.47
111.23,34.7,111.23,42.489999999999995
111.16,35.67,111.16,43.019999999999996
111.13,35.09,111.13,42.489999999999995
111.25,35.55,111.25,42.59
111.14,35.97,111.14,42.489999999999995
111.52,35.97,111.52,42.91
111.52,36.09,111.52,42.59
111.4,36.4,111.4,42.489999999999995
111.5,35.980000000000004,111.5,42.18
111.13,35.66,111.13,42.489999999999995
111.25,35.55,111.25,42.91
111.23,36.07,111.23,43.019999999999996
111.13,35.55,111.13,42.91
111.23,35.55,111.23,42.59
